	time	sinceBlockNum	lastBlock	lastFinalizedBlock
	2024-06-24T23:45:30.232Z	11752220	11752220	11751667
	2024-06-24T23:45:31.238Z	11752221	11752221	11751667
	2024-06-24T23:45:33.330Z	11752222	11752222	11751420
	2024-06-24T23:45:36.314Z	11752223	11752223	11751667
	2024-06-24T23:45:37.322Z	11752224	11752224	11751667
	2024-06-24T23:45:38.793Z	11752224	11752224	11751667
	2024-06-24T23:45:39.390Z	11752225	11752225	11751420
	2024-06-24T23:45:42.413Z	11752226	11752226	11751667
	2024-06-24T23:45:44.432Z	11752227	11752227	11751667
	2024-06-24T23:45:45.445Z	11752228	11752228	11751667
	2024-06-24T23:45:47.463Z	11752229	11752229	11751420
	2024-06-24T23:45:48.794Z	11752229	11752229	11751420
	2024-06-24T23:45:49.476Z	11752230	11752230	11751667
	2024-06-24T23:45:52.509Z	11752231	11752231	11751667
	2024-06-24T23:45:53.523Z	11752232	11752232	11751667
	2024-06-24T23:45:55.612Z	11752233	11752233	11751420
	2024-06-24T23:45:57.688Z	11752234	11752234	11751667
	2024-06-24T23:45:58.794Z	11752234	11752234	11751667
	2024-06-24T23:45:59.756Z	11752235	11752235	11751420
	2024-06-24T23:46:01.778Z	11752236	11752236	11751667
	2024-06-24T23:46:03.795Z	11752237	11752237	11751667
	2024-06-24T23:46:04.810Z	11752238	11752238	11751667
	2024-06-24T23:46:07.830Z	11752239	11752239	11751667
	2024-06-24T23:46:08.795Z	11752239	11752239	11751667
	2024-06-24T23:46:09.847Z	11752240	11752240	11751420
	2024-06-24T23:46:10.860Z	11752241	11752241	11751420
	2024-06-24T23:46:12.881Z	11752242	11752242	11751667
	2024-06-24T23:46:14.898Z	11752243	11752243	11751667
	2024-06-24T23:46:17.917Z	11752244	11752244	11751667
	2024-06-24T23:46:18.798Z	11752244	11752244	11751667
	2024-06-24T23:46:18.930Z	11752245	11752245	11751667
	2024-06-24T23:46:21.954Z	11752246	11752246	11751420
	2024-06-24T23:46:24.126Z	11752247	11752247	11751667
	2024-06-24T23:46:25.139Z	11752248	11752248	11751667
	2024-06-24T23:46:27.159Z	11752249	11752249	11751420
	2024-06-24T23:46:28.799Z	11752249	11752249	11751420
	2024-06-24T23:46:29.234Z	11752250	11752250	11751420
	2024-06-24T23:46:31.308Z	11752251	11752251	11751420
	2024-06-24T23:46:33.384Z	11752252	11752252	11751667
	2024-06-24T23:46:35.411Z	11752253	11752253	11751667
